skill
A/B testing
JAVA 1.7
SQL 2005 Database
SQL Server Mirroring
PDO SQL
Database ETL
Basic PHP
Aggregating shared CSS
Python C Types
Java servlet
My-Sql
PHP MySQL
Java Applications
CPython
Python OS
cybersecurity remediation
HTML5 (7 years)
Html/DHTML
Python Applications
MySQL Query Browser
postgreSQL/mysql
D3 JavaScript
SQL*Developer
CSS Margins
SQL+
NZsql
HTML/ CSS
Python Optimization
SQL 2008(R2)
sql alchemy
Java 1.6/1.8
Java JDK 1.5
Bash/Python scripting
Networking & telecommunications
SQL Mail
MSSQL administration
Enterprise Java beans
SQL Server instances
SQL Architect
Fiber-Optic Networking
MySQL 4.7
Agile Web Development
Tableau Reporting
CSS3 margins
T-SQL development
SecureDoc SQL server
Agile Scrum process
Spark-SQL
HTML/DHTML/XHTML
general networking troubleshooting
networking device
Networking projects
MSSQL management
core java
AGILE development methodology
MySQLdb
Agile/TDD environment
CSS 3.0
SQL Server Database
Java JDK 1.7
Agile practices
Security Programming
Custom JavaScript Components
SQL Queries
pandas data frames
Agile technologies
JavaScript ES5/6
CSS preprocessor
MySQL database deployment
ToadV9.7 & SQL
VB6.0 Application Programming
Python Linux
SQL programming
MS SQL 2008R2/2012R2/2014/2016
Java1.5/J2EE
JAVA1.5
SQL Server 2005-2014
Agile RAD
Agile/SCRUM Lead
phpMyadmin
CSS pre-processors
SQL 7.0/2000
Windows/SQL Servers 2008
ETL script development
Java SE 6/7
Turbo Image/SQL Database
SQL Monitoring
Python OS Module
Hadoop JUnit3.8
Microsoft SQL SERVER
Python 3.6
SQL 2012 Standardization
Java programming
Machine learning libraries
TFS Data warehouse
Java/JEE
CSS Preprocessor SASS
HTML Web Development
Data visualization JavaScript
Networking (10+ years)
Microsoft SQL servers
Microsoft Operating Systems
Python 2.x
SQL Engine Upgrades
Agile / Scrum
wxPython
Object-oriented Python
Palm OS/C++
Networking configurations
MySQL EDGE
Outsourcing Programming Services
SQL log analysis
Pl-sql
basic JavaScript
Java collections
database networking technology
SQL report creation
Basic Networking
Spark Tuning
Networking and events
Operating systems installation
SCSS/SASS/CSS
SQL Series
ETL system design
Oracle SQL Expert
Java coding principles
C++ Programming Language
Visual Basic Programming
Iron Python
Website programming
HTML & CSS
Java server-side development
PHP / BACKEND
Neural Networks
HTML and PHP
JavaScript validations
JavaScript development
Java Portlets
Juniper Networking
Use Agile/Scrum methodology
CSS3 keyframes
JAVA-1.8
SQL Query tuning
security operating systems
HTMLUnit
ETL Tool
Hive SQL queries
HTML/SASS
PHP 5.4.16
Python email scraper
DevOps automation
SQL Server logins/roles
Full-Stack JavaScript
CSS layouts
Java/Android
Data Warehouse architecture
Agile Expertise
GCSS-AF
Javascript (10+ years)
ShortStack and PHP
SQL Server Issues
Java 8 lambdas
Risk Classification
Apache hadoop hdfs
T-SQL Writing skills
Agile scrum methodology
JavaScript/Prototype
Access programming
CGI/HTML
CSS Box Model
CSS Expert
HTML/CSS Coding
TransactSQL
DATA VISUALIZATION
TOAD for MySQL
SQL language
SQL Azure Databases
Agile methodology -Scrum
PyTorch
CSS based layouts
Python/Tornado
MYSQL database architecture
Multi Layer Programming
LESS CSS framework
sql server
computer networking
TCP/IP Intra-Networking
CSS @media Queries
Cybersecurity planning
JavaScript/jQuery/Angular JS
CSS Development
CSS custom tags
PostgreSQL Performance Tuning
JS programming
Interactive Programming
SQL server installation
SQL Server migrations
Java 1.3
perl programming
Scaled-Agile Methodologies
MSSQL 5.6
Pandas Data frame
JAVA 1.6/J2EE
HTML4.01
ETL Development
SQL Virtualization
HTML5 canvas manipulation
SQL Server 2008R2/2012/2014/2016
Agile meetings
Agile-scrum Software Development
Objects oriented programming
Java EE 5/6/7/8
NOSQL Database
Dockerized NoSQL databases
Python 2.7,2.5
Virtualized Infrastructure/Cloud Computing
Networking issues
SQL expertise
BootstrapXHTML
Apache Hadoop 0.20.1
SQL* NET
SQL database support
Java/Tibco BW
Developed HTML prototypes
Web Agile
Multi-Platform Networking
SQL 2000/5/8
Event Programming
PostgresSQL
sql queries optimization
CSS3 Media Queries
backend python automation
Nosql
Agile (Hybrid)
CSS3 Media Query
Cisco Networking
Java Spring security
JavaScript ES6
SQL clustering environment
PHPMyDirectory
Nashorn Java Script
Shell Programming
Microsoft SQL 2005
Java Selenium
SQL Server Support
JavaScript Validation
SQL Database
PLSQL Development
SQL Always-on
MS server clustering
Sql Server 2012
C# .Net Core
SQL triggers
Ericsson/Nokia RAN
ETL Techniques
Hadoop Architectures
Computer Science Teacher
MSSQL 2005/2008R2/2012/2014
HTML email
Java Content Repository
css4
iPhone app programming
Agile Project Management
Java Messaging Services
Bulk Insert ETL
Object-oriented programming
Oracle PL/SQL Development/Testing
Python and Django
Microsoft SQL 2014
Transact-SQL scripts
Typescript/JavaScript/Angular JS
Scripting (Perl, Java)
Google cloud computing
Regression models
C# Programming
Java JDK
TCP/IP networking fundamentals
HTML Frames
OS-X operating systems
Core Java
HTMLs
SQL Server backup
Networking Monitoring
SQL Server Triggers
Custom JavaScript/jQuery
SQL SERVER REPORTS
agile ceremonies
SQL maintenance
Agile/Lean Practices
SQL Optimizer
Operating Systems Patches
SQL Server DTS/SSIS
java Spring Integration
Execute SQL commands
Splunk Algorithms
R programming
PHP Plugins
SQL Agent jobs
Apps Script/Javascript
JavaServerPages
TSQL Optimization
SQL Injection Lab
Python 3.4.1
SQL programmer
writing complex SQL
SQL server security
SQL-Server
Java: JDK 1.5
SQL Server Logins
Intro HTML5/CSS3
.Net programming
HTML/CSS/ColdFusion/PHP/jQuery
Servlets programming
SQL queries optimization
Tableau dashboards
SQL Server Azure
Introductory PL/SQL
SQL & Sequelize
Recurrent Neural Networks
Python ORM
PL/SQL Developer
RPG programming
Iterative ML algorithms
CSS validator
SQL *Plus
Customized PL/SQL programs
Spark ML lib
VMware clustering
SQL Development
css
C# .Net
Cucumber Java
Agile methodology
SQL Server (T-SQL)
Networking Devices
Cybersecurity Solution Implementation
PHP (4 years)
dcl programming
Cryptographic algorithms
JAVA Scripting
SQL Server Alerts
CSS LESS/SASS preprocessors
CLUSTERING
C++/NET/SQL
Selenium Python
Agile Development Process
Razor C# syntax
CSS-Grid
CSSMin
Data Warehouse Management
Unix C++
MySQL Server (Provisioning)
Server operating systems
MYSQL performance tuning
data visualizations
SSIS ETL packages
CSS2/3
Paired programming
Database analysis (MSSQL)
MySQL DB
Python Spring Security
JAVA 1.6/1.7
Vanilla JavaScript, ES6
SQL Server 6.5/2000
Borland C/C++
JavaServer Page
HTML (4.01/5)
agile environment
HTML Mailer Administration
Amazon Aurora PostgreSQL
Java Spark
Cybersecurity related matters
PL/SQL Stored Procedures
Oracle SQL Server
DevOps security
Agile (5 years)
Oracle SQL/PL/SQL
Networking Equipment Troubleshooting
Agile principles
Agile with Scrum
oracle sql developer
proc SQL
Agile management tools
C#.NET 4.5.1
Hadoop Security
JavaScript Forms
J2EE/ Java
python scripting
PHP Symfony
JavaScript/YUI
SQL Query Optimization
Agile Model
PostgreSQL 10.x
SQL execution analysis
Networking Components
Oracle SQL*Plus
Java 1.4 SDK
Java Networking
HTML/CSS3/JavaScript
Cybersecurity Program Management
Programming the Website
Python API
Java web service
Agile Techniques
Stock Trading Algorithms
php
Cisco internetworking
Hardware/Software Clustering
MSSQL server
Basic NoSQL querying
PythonSpark API
Java(v8)
SQL*PLUS
Informatics 5.1
JavaScript UI Modules
Spark Scala
Python Development
Apex programming language
Agile methodology experience
SQLCA
SQL Server migration
Python 2.7.10
MySQL (2 years)
SQL triggers/stored procedures
CSS Basics
Tableau Admin
Java script
cybersecurity procedures
POSTGRESQL10
Python/Unix
Java JDK 1.7,1.8
Oracle-SQL
HTML4/5
Cybersecurity/Info Assurance
MySQL capacity planning
psql
Hadoop 1.x/2.x MR1
PHP REST API
SQL Server 2017/2016/2014/2012/2008R2/2008/2005
Java/J2EE 1.6/1.7
Networking gear
Phone programming
SQL Database troubleshooting
SASS/CSS
Java Scripts
DevOps practices
Java REST Services
SQL Server2008/2012
MYSql
MySQL optimization
Agile/Kanban
Python Django Forms
MVC JavaScript frameworks
ETL Integration
CSS2 & 3
Finance Informatics
Spark In-Memory
HTML4.0/5.0
Operate the Python
Incorporated Agile Methodology
Networking equipment
Extreme-programming practices
HTML5 Geolocation API
Networking training
SQL Server cluster
SQL Maintenance
BI Strategies/Data Warehouse
SQL Database Maintenance
Python Graphics
Java/JSP
Spark Data sets
MySQL 5.1
Railway networking system
Java Key Store
SQL database engineering
C#/.NET framework
HTML5 forms
Billing CSS/CSS Redesign
SQL Roles
Database networking
Azure SQL
CSS 2
SASS/SCSS/LESS
Hardware cryptography
Oracle SQL/PL-SQL
SQL Server 2008r2
Python Modules
JSON programming
Postgre-SQL
pandas library
Java/J2EE 1.7
Server/networking solutions
Python-MySQL Connector
Administrative Networking Group
Operating system programming
JavaScript Task Runners
Agile/Scrum methodologies
OKTA Cloud Computing
java web-services
CSS Manipulation
Database Design (MySQL)
Java/JDBC
AGILE Methodologies
SQL Performance Dashboard
PostGRESQL
T-SQL code enhancement
Eclipse Java EE
Hadoop 2.x
Java collections framework
SQL Plus
Data warehouse optimization
SQL database troubleshooting
apache Spark
Waterfall to Agile
ETL DevOps
MySQL db package
.NET C#
Java GUI
SQL DB
Informatica ETL development
C++ 14
BIG DATA
iText framework (java)
mysqldump
Document Clustering
C#/++
PHP MVC
MySQL dB package
SQL analysis
Squirrel SQL client
MySQL Server 2008/12/16
MySQL 5.0.7
Oracle SQL development
HTML forms
PHP Composer
Agile-Scrum Methodology
MS-SQL Server 2005
SQL Server Infrastructure
Operating systems troubleshooting
LAMP (PHP-Apache-MySQL-PHP)
Agile program management
SQL*Loader
Data mining
Java design patterns
Computer programming
SQL Query Plan
JavaScript/jQuery/CoffeeScript
Networking Equipment
Agile Change Analyst
SQL transactional replications
Laravel PHP
Artificial Intelligence
Java1.6
Javascript, jQuery
CSS Framework
SQL SERVER
CSS text
JavaScript Bootstrap
Cybersecurity Consulting
full-stack javascript
SQL access advisor
Programming techniques
Dynamic SQL
T-SQL scripting
Sun clustering
HTML5 / CSS
PCI-DSS networking
HTML/CSS/Bootstrap
PHP/MySQL
SQL Technologies
Agile leadership
Metlife.com
Image classification
Data warehouses
SQL server installations
LINQ TO SQL
SQL Server architecture
Hadoop Cluster Administration
Dynamic Data Structures
Java 7/JavaEE 6
Java Collections
Front-end Programming
Agile/Scrum Enterprise Implementation
NETWORKING
Programming Contests
CISCO microtik networking
SQL and Interbase
python-twitter
JavaScript Design Patterns
IPython
SQL performance monitoring
JAVASCRIPT
Custom Java Transformers
Infrastructure Agile Operations
JavaScripts
PostgreSQL 8.4
PHP 5.3
PHP-based Theme Packages
A+ networking module
PL/SQL developer
Java 1.5
SQL Server replication
AEM Devops
SQL mail
Python 3.5.1 programming
Azure DevOps
ESQL/C
PostgreSQL API calls
CSS3 Border
HTML5/CSS3
CSS3 padding
SQL server databases
Java 1.5/1.6
Postgresql installation
HTML page creation
Native JavaScript
Spark DataFrames
SQL Data Compare
Cybersecurity compliance
SQL*Loader control files
CSS/CSS3
Java Helper Classes
MS SQLServer2000
Java Script
SQL developer tool
Object Oriented PHP
Basic JavaScript
SQL Reporting
Machine Learning
JAVAEE6
CyberSecurity Specialist
Interactive SQL Java
MySQL(5, x)
SQL LOADER
Data Warehouse design
Python-Twitter Library
cybersecurity technology
Hadoop Ecosystem Tools
Scripting in Python
Informatics curriculum
CSS padding
Oracle SQL Queries
VCSs
Core java
T-SQL expertise
HTML newsletters
HTML DHTML
Agile - Sprint
Java-JSP
SqlDBM
SQL Server Architecture
Stretched Networking
Javascript (jQuery)
JAVA 1.7/J2EE
PHP MyAdmin
Javascript testing
networking appliances
Angular javascript
Agile Development
IP networking
PHP & MySQL
AGILE methods
SQL injection attacks
core JAVA5.0/6.0
SqlNavigator
Agile Methods
Java EE 6
Oracle PL-SQL
MySQL migration
Create HTML emails
Backend: (ASP.NET: C#)
SQL Server 2008R2-2012
XHTML / HTML
MySQL 5.7
Hyper-V Clustering
PL/SQl
Javascript (Angular)
backend Python code
css/LESS
Telecommunications networking systems
Enterprise Data Modeling/SQL
NoSqlBooster
SQL Server 2005-2016
MySQL Replication
HTML Litmus Email
VMS Clustering
HTML5 CSS
Python 3.4.3
Tableau Server Administration
SQLTXTRACT
MySQL Database Management
PHP4
PostgreSQL-PGAdmin
JSqlParser
CSS grids
PC-based networking
PL/SQL and SQL
MySQL5.1/4.1
MSSQL 2014
Spark ML
DB2 SQL Procedures
Regression Models
jQuery/JavaScript
Java 1.6
Java 4
PL /SQL
PHP LAMP stacks
Java Standard Streams
Completes Programming
Agile-scrum
Dhtml
SQL database administrator
EM3 JavaScript
Linux networking
responsive CSS framework
SQL2012
SQL Server 2003
PHPUnit
MySQL- Python
MS SQL 2000
Developing SQL queries
Networking problems
Hadoop administration
Javascript (6 years)
SQL Server 2008
SQL Nexus
MySQL replication
ExcelleNet outbound networking
Computer science
SDLC Agile
Python 3.5
CSS2/CSS3
Agile/scrum
Java EE6
Redshift PSQL
postgresql
ETL mappings
CSS Pseudo-classes
Java 1.7
Java (jdk1.5)
SQL-based backend testing
SQL/PLSQL
html5
Java/.net Technologies
CSS / CSS3
JAVA2
SQL administration
Used CSS3
PDC/BDC/IIS/SQL/Cluster Servers
Sql* Plus
Application Development (.Net/Python/SQL/C#)
Informatica ETL tools
Enterprise data warehouse
MYSQL installation
MySQL Server database
OSGI Java Classes
SQL Logins
Reinstall operating systems
java mail api
SQL scheduler
CSS sprites
HTML 5/CSS
CSS3 borders
OOP JavaScript
Teradata SQL Server
JavaScript MVC Patterns
JavaScript task runners
Agile/Waterfall methodologies
Azure SQL database
Collections in Python
JAVA 1.5
TSQL (10+ years)
algorithms
Sql server
